rutemisor,tipodte,fchemis,folio,rutrecep,nrolindet,nmbitem,qtyitem,prcitem,montoitem,cmnarecep,cmnaorigen
33612,33,2018-04-19,10505,762212,1,tiras pvc hidrail 40,2.000000,3949.000000,7898.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-19,10505,762212,2,brocha 2,1.000000,966.000000,966.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-12,10449,969274,1,s/orden comp 342  26/3/18,1.000000,53974.000000,53974.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-12,10449,969274,2,s/orden comp 338  15/3/18,1.000000,14117.000000,14117.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-12,10449,969274,3,s/orden comp337   12/3/18,1.000000,4521.000000,4521.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-12,10442,788333,1,S/ GUIA 23328,1.000000,132260.000000,132260.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-12,10442,788333,2,S/GUIA  23337,1.000000,18613.000000,18613.0000,VILLA ALEMANA,VILLA ALEMANA
115848,33,2018-09-20,16656,768798,1,PALTA HASS PRIMERA FIRME,32.200000,1680.670000,54118.0000,ESTACION CENTRAL,PEDRO AGUIRRE CERDA
33612,33,2018-04-11,10438,767312,1,cama completa cuadrado 60,1.000000,11680.000000,11680.0000,VALPARAISO,VILLA ALEMANA
33612,33,2018-04-19,10509,762212,1,CANCAMOS,10.000000,84.000000,840.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-19,10509,762212,2,BALDE,1.000000,2100.000000,2100.0000,VILLA ALEMANA,VILLA ALEMANA
115848,33,2018-09-25,16850,768798,1,PALTA HASS PRIMERA FIRME,32.200000,1680.670000,54118.0000,ESTACION CENTRAL,PEDRO AGUIRRE CERDA
115848,33,2018-07-23,15180,768798,1,PALTA HASS PRIMERA FIRME,15.200000,2100.840000,31933.0000,ESTACION CENTRAL,PEDRO AGUIRRE CERDA
33612,33,2018-04-12,10452,762212,1,BROCHA 2 1/2,1.000000,1134.000000,1134.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-12,10452,762212,2,S/CEMNTO,2.000000,3067.000000,6134.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-12,10452,762212,3,LIJA MADERA,5.000000,168.000000,840.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-18,10493,93674,1,p/terciado 9mmx120/240,1.000000,14201.000000,14201.0000,VILLA ALEMANA,VILLA ALEMANA
113034,33,2018-09-21,3182,93567,1,mix frutos secos,46.000000,3449.000000,158654.0000,PUENTE ALTO,RECOLETA
33612,33,2018-04-12,10443,763688,1,S/ GUIA 23310,1.000000,13058.000000,13058.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-17,10480,762282,1,ACEITE MOTO SIERRA,2.000000,2773.000000,5546.0000,QUILPUE,VILLA ALEMANA
33612,33,2018-04-12,10451,786181,1,MASILLA MAGICA 400GR,5.000000,2689.000000,13445.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-12,10451,786181,2,BROCHA,2.000000,579.000000,1158.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-12,10451,786181,3,RODILLO,1.000000,1218.000000,1218.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-12,10451,786181,4,PAR POMELOS,1.000000,2512.000000,2512.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-12,10451,786181,5,REPUESTOS TIZADOR,1.000000,1050.000000,1050.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-16,10471,137667,1,s/cemnto,11.000000,3067.000000,33737.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-18,10499,87656,1,"cable 2,5",130.000000,235.000000,30550.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-18,10499,87656,2,tablero elect,1.000000,5757.000000,5757.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-18,10499,87656,3,caja distrib,8.000000,328.000000,2624.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-18,10499,87656,4,automatico16 amp,1.000000,1764.000000,1764.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-18,10499,87656,5,tira conduit 20,3.000000,925.000000,2775.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-18,10499,87656,6,legran,10.000000,294.000000,2940.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-18,10499,87656,7,mts cadena 8,3.000000,2605.000000,7815.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-18,10499,87656,8,juego macho 3/8,1.000000,5042.000000,5042.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-18,10499,87656,9,pernos,4.000000,126.000000,504.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-17,10490,142413,1,tira pvc 75,3.000000,5546.000000,16638.0000,LIMACHE,VILLA ALEMANA
33612,33,2018-04-17,10490,142413,2,codo 75,2.000000,1134.000000,2268.0000,LIMACHE,VILLA ALEMANA
33612,33,2018-04-17,10490,142413,3,tee 75,2.000000,1327.000000,2654.0000,LIMACHE,VILLA ALEMANA
33612,33,2018-04-18,10491,786181,1,masilla magica,4.000000,2689.000000,10756.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-16,10478,72696,1,guardapolvo 2,12.000000,1429.000000,17148.0000,VILLA ALEMANA,VILLA ALEMANA
115848,33,2018-08-18,16151,768798,1,PALTA HASS PRIMERA FIRME,31.800000,1848.740000,58790.0000,ESTACION CENTRAL,PEDRO AGUIRRE CERDA
115848,33,2018-08-04,15614,768798,1,PALTA HASS PRIMERA FIRME,15.800000,2268.910000,35849.0000,ESTACION CENTRAL,PEDRO AGUIRRE CERDA
33612,33,2018-04-12,10445,768438,1,ROSCALATA /TARUGO,15.000000,58.000000,870.0000,VINA DEL MAR,VILLA ALEMANA
33612,33,2018-04-12,10445,768438,2,BROCA PLANA 1,1.000000,1680.000000,1680.0000,VINA DEL MAR,VILLA ALEMANA
33612,33,2018-04-12,10445,768438,3,CAJA DISTRIBUCION,2.000000,1344.000000,2688.0000,VINA DEL MAR,VILLA ALEMANA
33612,33,2018-04-12,10445,768438,4,SILICONA,1.000000,1685.000000,1685.0000,VINA DEL MAR,VILLA ALEMANA
33612,33,2018-04-12,10445,768438,5,BROCHA 1,1.000000,500.000000,500.0000,VINA DEL MAR,VILLA ALEMANA
33612,33,2018-04-17,10479,762282,1,compresor condor 200 MYH,1.000000,415966.000000,415966.0000,QUILPUE,VILLA ALEMANA
33612,33,2018-04-18,10498,102183,1,coplas 75,2.000000,705.000000,1410.0000,VALPARAISO,VILLA ALEMANA
33612,33,2018-04-18,10498,102183,2,codo 50,2.000000,504.000000,1008.0000,VALPARAISO,VILLA ALEMANA
33612,33,2018-04-18,10498,102183,3,protector facial,1.000000,5033.000000,5033.0000,VALPARAISO,VILLA ALEMANA
33612,33,2018-04-13,10459,763266,1,madera 2x8,3.000000,5462.000000,16386.0000,VILLA ALEMANA,VILLA ALEMANA
115848,33,2018-10-04,17142,768798,1,PALTA HASS PRIMERA FIRME,30.000000,2100.840000,63025.0000,ESTACION CENTRAL,PEDRO AGUIRRE CERDA
33612,33,2018-04-12,10444,969274,1,S/ORDEN DE COMPRA- 320,1.000000,25630.000000,25630.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-17,10487,709836,1,tubo led,2.000000,2605.000000,5210.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-14,10469,782935,1,barra bronce,6.000000,1974.000000,11844.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-12,10450,766937,1,combinacion ducha,1.000000,13361.000000,13361.0000,TALCA,VILLA ALEMANA
33612,33,2018-04-17,10483,761943,1,AMARRAS PLASTICAS,1.000000,2100.000000,2100.0000,VINA DEL MAR,VILLA ALEMANA
33612,33,2018-04-17,10483,761943,2,GUANTES CABRITILLA,8.000000,2018.000000,16144.0000,VINA DEL MAR,VILLA ALEMANA
33612,33,2018-04-18,10495,732456,1,oreja de oso,4.000000,168.000000,672.0000,VALPARAISO,VILLA ALEMANA
33612,33,2018-04-18,10495,732456,2,escuadra 2 1/2,4.000000,378.000000,1512.0000,VALPARAISO,VILLA ALEMANA
33612,33,2018-04-18,10495,732456,3,hoja de segeta,1.000000,1134.000000,1134.0000,VALPARAISO,VILLA ALEMANA
33612,33,2018-04-18,10495,732456,4,serrucho de poda,1.000000,4873.000000,4873.0000,VALPARAISO,VILLA ALEMANA
33612,33,2018-04-18,10495,732456,5,madera 1x2,1.000000,714.000000,714.0000,VALPARAISO,VILLA ALEMANA
33612,33,2018-04-16,10473,762212,1,esmalte 1/4 galon,2.000000,5714.000000,11428.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-16,10473,762212,2,camara carretilla,2.000000,1848.000000,3696.0000,VILLA ALEMANA,VILLA ALEMANA
33612,33,2018-04-13,10460,109454,1,s/guia 23326    7/3/18,1.000000,35361.000000,35361.0000,VILLA ALEMANA,VILLA ALEMANA
